INPUT:
start: 2010-01-01
factor: ['pb']
weightType: 1
factor_direction: [1]
end: 2011 -01-01
n: 10
path: D:\strategy\GDP\GD.db
hedgemethod: 1
industry_neutral: 0
backperiod: 20
positionType: 2

OUTPUT:
	time	stkcd	weight
0	2010-01-15	002038	0.06612147836365292
1	2010-01-15	600276	0.07704382393736323
2	2010-01-15	600875	0.06374645260221473
3	2010-01-15	000568	0.10352712810391794
4	2010-01-15	002007	0.1119809896969112
5	2010-01-15	600161	0.10513409140745048
6	2010-01-15	601099	0.09440814795490525
7	2010-01-15	600812	0.1030590187574662
8	2010-01-15	600547	0.1332565346354971
9	2010-01-15	600816	0.14172233454062086
0	2010-01-18	002038	0.06612147836365292
1	2010-01-18	600276	0.07704382393736323
2	2010-01-18	600875	0.06374645260221473
3	2010-01-18	000568	0.10352712810391794
4	2010-01-18	002007	0.1119809896969112
5	2010-01-18	600161	0.10513409140745048
6	2010-01-18	601099	0.09440814795490525
7	2010-01-18	600812	0.1030590187574662
8	2010-01-18	600547	0.1332565346354971
9	2010-01-18	600816	0.14172233454062086
0	2010-01-19	002038	0.06612147836365292
1	2010-01-19	600276	0.07704382393736323
2	2010-01-19	600875	0.06374645260221473
3	2010-01-19	000568	0.10352712810391794
4	2010-01-19	002007	0.1119809896969112
5	2010-01-19	600161	0.10513409140745048
6	2010-01-19	601099	0.09440814795490525
7	2010-01-19	600812	0.1030590187574662
8	2010-01-19	600547	0.1332565346354971
9	2010-01-19	600816	0.14172233454062086
0	2010-01-20	002038	0.06612147836365292
1	2010-01-20	600276	0.07704382393736323
2	2010-01-20	600875	0.06374645260221473
3	2010-01-20	000568	0.10352712810391794
4	2010-01-20	002007	0.1119809896969112
5	2010-01-20	600161	0.10513409140745048
6	2010-01-20	601099	0.09440814795490525
7	2010-01-20	600812	0.1030590187574662
8	2010-01-20	600547	0.1332565346354971
9	2010-01-20	600816	0.14172233454062086
0	2010-01-21	002038	0.06612147836365292
1	2010-01-21	600276	0.07704382393736323
2	2010-01-21	600875	0.06374645260221473
3	2010-01-21	000568	0.10352712810391794
4	2010-01-21	002007	0.1119809896969112
5	2010-01-21	600161	0.10513409140745048
6	2010-01-21	601099	0.09440814795490525
7	2010-01-21	600812	0.1030590187574662
8	2010-01-21	600547	0.1332565346354971
9	2010-01-21	600816	0.14172233454062086
0	2010-01-22	002038	0.06612147836365292
1	2010-01-22	600276	0.07704382393736323
2	2010-01-22	600875	0.06374645260221473
3	2010-01-22	000568	0.10352712810391794
4	2010-01-22	002007	0.1119809896969112
5	2010-01-22	600161	0.10513409140745048
6	2010-01-22	601099	0.09440814795490525
7	2010-01-22	600812	0.1030590187574662
8	2010-01-22	600547	0.1332565346354971
9	2010-01-22	600816	0.14172233454062086
0	2010-01-25	002038	0.06612147836365292
1	2010-01-25	600276	0.07704382393736323
2	2010-01-25	600875	0.06374645260221473
3	2010-01-25	000568	0.10352712810391794
4	2010-01-25	002007	0.1119809896969112
5	2010-01-25	600161	0.10513409140745048
6	2010-01-25	601099	0.09440814795490525
7	2010-01-25	600812	0.1030590187574662
8	2010-01-25	600547	0.1332565346354971
9	2010-01-25	600816	0.14172233454062086
0	2010-01-26	002038	0.06612147836365292
1	2010-01-26	600276	0.07704382393736323
2	2010-01-26	600875	0.06374645260221473
3	2010-01-26	000568	0.10352712810391794
4	2010-01-26	002007	0.1119809896969112
5	2010-01-26	600161	0.10513409140745048
6	2010-01-26	601099	0.09440814795490525
7	2010-01-26	600812	0.1030590187574662
8	2010-01-26	600547	0.1332565346354971
9	2010-01-26	600816	0.14172233454062086
0	2010-01-27	002038	0.06612147836365292
1	2010-01-27	600276	0.07704382393736323
2	2010-01-27	600875	0.06374645260221473
3	2010-01-27	000568	0.10352712810391794
4	2010-01-27	002007	0.1119809896969112
5	2010-01-27	600161	0.10513409140745048
6	2010-01-27	601099	0.09440814795490525
7	2010-01-27	600812	0.1030590187574662
8	2010-01-27	600547	0.1332565346354971
9	2010-01-27	600816	0.14172233454062086
0	2010-01-28	002038	0.06612147836365292
1	2010-01-28	600276	0.07704382393736323
2	2010-01-28	600875	0.06374645260221473
3	2010-01-28	000568	0.10352712810391794
4	2010-01-28	002007	0.1119809896969112
5	2010-01-28	600161	0.10513409140745048
6	2010-01-28	601099	0.09440814795490525
7	2010-01-28	600812	0.1030590187574662
8	2010-01-28	600547	0.1332565346354971
9	2010-01-28	600816	0.14172233454062086
0	2010-01-29	002038	0.06612147836365292
1	2010-01-29	600276	0.07704382393736323
2	2010-01-29	600875	0.06374645260221473
3	2010-01-29	000568	0.10352712810391794
4	2010-01-29	002007	0.1119809896969112
5	2010-01-29	600161	0.10513409140745048
6	2010-01-29	601099	0.09440814795490525
7	2010-01-29	600812	0.1030590187574662
8	2010-01-29	600547	0.1332565346354971
9	2010-01-29	600816	0.14172233454062086
0	2010-02-01	002038	0.06612147836365292
1	2010-02-01	600276	0.07704382393736323
2	2010-02-01	600875	0.06374645260221473
3	2010-02-01	000568	0.10352712810391794
4	2010-02-01	002007	0.1119809896969112
5	2010-02-01	600161	0.10513409140745048
6	2010-02-01	601099	0.09440814795490525
7	2010-02-01	600812	0.1030590187574662
8	2010-02-01	600547	0.1332565346354971
9	2010-02-01	600816	0.14172233454062086
2	2010-02-02	000568	0.11431606400087756
8	2010-02-02	002007	0.09707259309407609
3	2010-02-02	002038	0.12231706666621016
